"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"50-coredump.conf","50-coredump.conf","","","x86_64-linux","/nix/store/a56vmvks5y68mhsq1fm1fjihn0kjyqn2-50-coredump.conf","['/nix/store/a56vmvks5y68mhsq1fm1fjihn0kjyqn2-50-coredump.conf']","/nix/store/v6567xswb4fy44cwhsscjl8rgn4z8iag-50-coredump.conf.drv","cpe:2.3:a:50-coredump.conf:50-coredump.conf::*:*:*:*:*:*:*","pkg:nix/50-coredump.conf","","","","","","","","",""
"7zz-24.09","7zz","24.09","/nix/store/ndjbnla2z91svc03yyll0q8pxphp77x2-fix-cross-mingw-build.patch","x86_64-linux","/nix/store/f8cbv8g2f1q9xn2dpk2625arajy3r0s9-7zz-24.09","['/nix/store/f8cbv8g2f1q9xn2dpk2625arajy3r0s9-7zz-24.09']","/nix/store/alxjqrkpjvvm9f4r3b7fcibihd8d8r54-7zz-24.09.drv","cpe:2.3:a:7zz:7zz:24.09:*:*:*:*:*:*:*","pkg:nix/7zz@24.09","","7zz","24.09","https://7-zip.org","False","Command line archiver utility","lgpl2Plus;bsd3","LGPL-2.0-or-later;BSD-3-Clause","anna328p@gmail.com;hello+nixpkgs@j-k.io;peter@hoeg.com"
"X-Reload-Triggers-systemd-networkd","X-Reload-Triggers-systemd-networkd","","","x86_64-linux","/nix/store/srkndhx01mhdgp8lgfm4bwsrfgkhy160-X-Reload-Triggers-systemd-networkd","['/nix/store/srkndhx01mhdgp8lgfm4bwsrfgkhy160-X-Reload-Triggers-systemd-networkd']","/nix/store/d1pbkgwbijp99dq9720izf2l95p4n0hr-X-Reload-Triggers-systemd-networkd.drv","cpe:2.3:a:X-Reload-Triggers-systemd-networkd:X-Reload-Triggers-systemd-networkd::*:*:*:*:*:*:*","pkg:nix/X-Reload-Triggers-systemd-networkd","","","","","","","","",""
"X-Reload-Triggers-systemd-resolved","X-Reload-Triggers-systemd-resolved","","","x86_64-linux","/nix/store/jzh3zg8l5h9cyibmqyskqwv50a7dma10-X-Reload-Triggers-systemd-resolved","['/nix/store/jzh3zg8l5h9cyibmqyskqwv50a7dma10-X-Reload-Triggers-systemd-resolved']","/nix/store/47jf4rbjfy9pkfn8w78zkwk19hdbdfgb-X-Reload-Triggers-systemd-resolved.drv","cpe:2.3:a:X-Reload-Triggers-systemd-resolved:X-Reload-Triggers-systemd-resolved::*:*:*:*:*:*:*","pkg:nix/X-Reload-Triggers-systemd-resolved","","","","","","","","",""
"X-Restart-Triggers-dbus","X-Restart-Triggers-dbus","","","x86_64-linux","/nix/store/mv08glgxzkydczfw060059ca8jxjnafn-X-Restart-Triggers-dbus","['/nix/store/mv08glgxzkydczfw060059ca8jxjnafn-X-Restart-Triggers-dbus']","/nix/store/k55f9wfn12l60wflgd0zxs0dg5v6g0gr-X-Restart-Triggers-dbus.drv","cpe:2.3:a:X-Restart-Triggers-dbus:X-Restart-Triggers-dbus::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-dbus","","","","","","","","",""
"X-Restart-Triggers-nix-daemon","X-Restart-Triggers-nix-daemon","","","x86_64-linux","/nix/store/7qdg20nczbkqww9ffk3lc4s42p1wsdvv-X-Restart-Triggers-nix-daemon","['/nix/store/7qdg20nczbkqww9ffk3lc4s42p1wsdvv-X-Restart-Triggers-nix-daemon']","/nix/store/jyxw3svy34p9grsblkv99c0pr6zkmj5q-X-Restart-Triggers-nix-daemon.drv","cpe:2.3:a:X-Restart-Triggers-nix-daemon:X-Restart-Triggers-nix-daemon::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-nix-daemon","","","","","","","","",""
"X-Restart-Triggers-polkit","X-Restart-Triggers-polkit","","","x86_64-linux","/nix/store/y6jd7vg90wqh2cc6pi2hhpgx0bs469ml-X-Restart-Triggers-polkit","['/nix/store/y6jd7vg90wqh2cc6pi2hhpgx0bs469ml-X-Restart-Triggers-polkit']","/nix/store/ynpyn0vdd41vr5bb59jl18p5p11wdwim-X-Restart-Triggers-polkit.drv","cpe:2.3:a:X-Restart-Triggers-polkit:X-Restart-Triggers-polkit::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-polkit","","","","","","","","",""
"X-Restart-Triggers-reload-systemd-vconsole-setup","X-Restart-Triggers-reload-systemd-vconsole-setup","","","x86_64-linux","/nix/store/hgz72klvi0qhichl093v5kbvyn7l2dr2-X-Restart-Triggers-reload-systemd-vconsole-setup","['/nix/store/hgz72klvi0qhichl093v5kbvyn7l2dr2-X-Restart-Triggers-reload-systemd-vconsole-setup']","/nix/store/2a74f3c5yn5wlf8h27yrqr9kdwxc9k06-X-Restart-Triggers-reload-systemd-vconsole-setup.drv","cpe:2.3:a:X-Restart-Triggers-reload-systemd-vconsole-setup:X-Restart-Triggers-reload-systemd-vconsole-setup::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-reload-systemd-vconsole-setup","","","","","","","","",""
"X-Restart-Triggers-systemd-journald","X-Restart-Triggers-systemd-journald","","","x86_64-linux","/nix/store/maxpxclha208nrgx41vzy9hkygzhfn7k-X-Restart-Triggers-systemd-journald","['/nix/store/maxpxclha208nrgx41vzy9hkygzhfn7k-X-Restart-Triggers-systemd-journald']","/nix/store/19q74pbgv751kk0w37h3xr0mx31rf5rr-X-Restart-Triggers-systemd-journald.drv","cpe:2.3:a:X-Restart-Triggers-systemd-journald:X-Restart-Triggers-systemd-journald::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-journald","","","","","","","","",""
"X-Restart-Triggers-systemd-journald-","X-Restart-Triggers-systemd-journald-","","","x86_64-linux","/nix/store/zlh5gin7aqaq586235qi5xl4ajryikzh-X-Restart-Triggers-systemd-journald-","['/nix/store/zlh5gin7aqaq586235qi5xl4ajryikzh-X-Restart-Triggers-systemd-journald-']","/nix/store/nxm4g7rn0sgnqhsn25x446ixmj56j5gc-X-Restart-Triggers-systemd-journald-.drv","cpe:2.3:a:X-Restart-Triggers-systemd-journald-:X-Restart-Triggers-systemd-journald-::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-journald-","","","","","","","","",""
"X-Restart-Triggers-systemd-modules-load","X-Restart-Triggers-systemd-modules-load","","","x86_64-linux","/nix/store/07bir552749cxx71h8wb36pzvsd29qs7-X-Restart-Triggers-systemd-modules-load","['/nix/store/07bir552749cxx71h8wb36pzvsd29qs7-X-Restart-Triggers-systemd-modules-load']","/nix/store/lmpzp9siwmwfzk9bpk6868hdh7myhgh7-X-Restart-Triggers-systemd-modules-load.drv","cpe:2.3:a:X-Restart-Triggers-systemd-modules-load:X-Restart-Triggers-systemd-modules-load::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-modules-load","","","","","","","","",""
"X-Restart-Triggers-systemd-networkd","X-Restart-Triggers-systemd-networkd","","","x86_64-linux","/nix/store/c6qqynmndb5cr8dwcq4dnpgzm82zzc8f-X-Restart-Triggers-systemd-networkd","['/nix/store/c6qqynmndb5cr8dwcq4dnpgzm82zzc8f-X-Restart-Triggers-systemd-networkd']","/nix/store/rpabbx4g4wfd4bicn3yj3fmpsygwhjdj-X-Restart-Triggers-systemd-networkd.drv","cpe:2.3:a:X-Restart-Triggers-systemd-networkd:X-Restart-Triggers-systemd-networkd::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-networkd","","","","","","","","",""
"X-Restart-Triggers-systemd-sysctl","X-Restart-Triggers-systemd-sysctl","","","x86_64-linux","/nix/store/q3pi2sa872x4vjclhbzp9584827d8xb1-X-Restart-Triggers-systemd-sysctl","['/nix/store/q3pi2sa872x4vjclhbzp9584827d8xb1-X-Restart-Triggers-systemd-sysctl']","/nix/store/q82b10j7flmpp4vx8wb4r9wanl0bj2lx-X-Restart-Triggers-systemd-sysctl.drv","cpe:2.3:a:X-Restart-Triggers-systemd-sysctl:X-Restart-Triggers-systemd-sysctl::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-sysctl","","","","","","","","",""
"X-Restart-Triggers-systemd-timesyncd","X-Restart-Triggers-systemd-timesyncd","","","x86_64-linux","/nix/store/pq0nalycfhy7xachd5zcws70g9gimqfn-X-Restart-Triggers-systemd-timesyncd","['/nix/store/pq0nalycfhy7xachd5zcws70g9gimqfn-X-Restart-Triggers-systemd-timesyncd']","/nix/store/wszfyqvcypn6cq46mh0sx0gn8xrgcqhn-X-Restart-Triggers-systemd-timesyncd.drv","cpe:2.3:a:X-Restart-Triggers-systemd-timesyncd:X-Restart-Triggers-systemd-timesyncd::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-timesyncd","","","","","","","","",""
"X-Restart-Triggers-systemd-tmpfiles-resetup","X-Restart-Triggers-systemd-tmpfiles-resetup","","","x86_64-linux","/nix/store/bp3mdjn3x4xwmm7m7f9pd7m7fflwlpl4-X-Restart-Triggers-systemd-tmpfiles-resetup","['/nix/store/bp3mdjn3x4xwmm7m7f9pd7m7fflwlpl4-X-Restart-Triggers-systemd-tmpfiles-resetup']","/nix/store/9znwscal6an5a9z6bw25cnww1xzddcxx-X-Restart-Triggers-systemd-tmpfiles-resetup.drv","cpe:2.3:a:X-Restart-Triggers-systemd-tmpfiles-resetup:X-Restart-Triggers-systemd-tmpfiles-resetup::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-tmpfiles-resetup","","","","","","","","",""
