"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2025-32414","https://nvd.nist.gov/vuln/detail/CVE-2025-32414","libxml2","2.13.6","5.6","1","0","0","1","2025A0000032414"
"CVE-2025-31498","https://nvd.nist.gov/vuln/detail/CVE-2025-31498","c-ares","1.34.4","8.3","1","0","0","1","2025A0000031498"
"CVE-2025-29482","https://nvd.nist.gov/vuln/detail/CVE-2025-29482","libheif","1.19.7","","0","0","1","1","2025A0000029482"
"CVE-2025-29482","https://nvd.nist.gov/vuln/detail/CVE-2025-29482","libheif","1.19.7","6.2","1","0","0","1","2025A0000029482"
"CVE-2025-29481","https://nvd.nist.gov/vuln/detail/CVE-2025-29481","libbpf","1.5.0","","0","0","1","1","2025A0000029481"
"CVE-2025-29481","https://nvd.nist.gov/vuln/detail/CVE-2025-29481","libbpf","1.5.0","6.2","1","0","0","1","2025A0000029481"
"BIT-sqlite-2025-29087","https://osv.dev/BIT-sqlite-2025-29087","sqlite","3.48.0","","0","1","0","1","2025A0000029087"
"BIT-sqlite-2025-29087","https://osv.dev/BIT-sqlite-2025-29087","sqlite","3.46.1","","0","1","0","1","2025A0000029087"
"CVE-2025-29087","https://nvd.nist.gov/vuln/detail/CVE-2025-29087","sqlite","3.48.0","3.2","1","0","0","1","2025A0000029087"
"CVE-2025-29087","https://nvd.nist.gov/vuln/detail/CVE-2025-29087","sqlite","3.46.1","3.2","1","0","0","1","2025A0000029087"
"CVE-2025-24855","https://nvd.nist.gov/vuln/detail/CVE-2025-24855","libxslt","1.1.42","7.8","1","0","0","1","2025A0000024855"
"BIT-sqlite-2025-3277","https://osv.dev/BIT-sqlite-2025-3277","sqlite","3.48.0","","0","1","0","1","2025A0000003277"
"BIT-sqlite-2025-3277","https://osv.dev/BIT-sqlite-2025-3277","sqlite","3.46.1","","0","1","0","1","2025A0000003277"
"CVE-2025-3277","https://nvd.nist.gov/vuln/detail/CVE-2025-3277","sqlite","3.48.0","6.9","1","0","0","1","2025A0000003277"
"CVE-2025-3277","https://nvd.nist.gov/vuln/detail/CVE-2025-3277","sqlite","3.46.1","6.9","1","0","0","1","2025A0000003277"
